Date,Description,Amount,Currency
2026-05-01,Apartment Rent,-1600.00,USD
2026-05-01,ACH Payroll Deposit,4200.00,USD
2026-05-01,Comcast Internet,-75.00,USD
2026-05-01,Netflix,-15.49,USD
2026-05-01,Spotify Premium,-11.99,USD
2026-05-02,Whole Foods Market,-78.41,USD
2026-05-02,Starbucks #4421,-5.75,USD
2026-05-03,Uber Trip,-14.20,USD
2026-05-03,Chipotle 0188,-12.85,USD
2026-05-04,Amazon.com,-42.99,USD
2026-05-05,Shell Gas Station,-58.20,USD
2026-05-05,DoorDash,-31.40,USD
2026-05-06,CVS Pharmacy,-18.62,USD
2026-05-07,Trader Joe's,-54.10,USD
2026-05-08,Anthropic API,-20.00,USD
2026-05-08,GitHub,-4.00,USD
2026-05-09,AMC Theatres,-28.50,USD
2026-05-10,Uber Trip,-9.40,USD
2026-05-11,Starbucks #4421,-6.10,USD
2026-05-12,Whole Foods Market,-66.25,USD
2026-05-13,Delta Airlines,-285.40,USD
2026-05-14,Airbnb,-180.00,USD
2026-05-15,Nike Store,-129.99,USD
2026-05-15,ATM Fee,-3.00,USD
2026-05-15,Refund Amazon.com,18.99,USD
